Iteration,Total Reward,Actual MIS Size,Generated MIS Size,Line 1 Count,Line 2 Count,Line 3 Count,Line 4 Count,Line 5 Count,Line 6 Count,Line 7 Count,Line 8 Count,Line 9 Count,Line 10 Count,Adjacency Matrix
1,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,0,0,1,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,1,0,0,0,0,0,0;1,0,1,0,1,0,0,0,1,0;0,1,0,1,0,1,0,0,0,0;0,0,0,0,1,0,0,1,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,1,0;0,0,0,1,0,0,0,1,0,0;0,0,0,0,0,1,0,0,0,0"
2,4,10,4,6,3,3,1,2,0,0,2,2,2,"0,0,0,0,1,0,0,1,1,0;0,0,0,1,0,1,0,0,1,0;0,0,0,0,1,0,0,0,1,1;0,1,0,0,0,0,1,1,0,1;1,0,1,0,0,0,0,1,1,1;0,1,0,0,0,0,1,0,0,0;0,0,0,1,0,1,0,1,0,0;1,0,0,1,1,0,1,0,0,0;1,1,1,0,1,0,0,0,0,0;0,0,1,1,1,0,0,0,0,0"
3,1,10,2,8,3,5,3,2,1,1,1,1,1,"0,1,1,1,0,0,0,0,1,0;1,0,0,1,1,0,0,0,1,0;1,0,0,0,0,1,1,0,0,0;1,1,0,0,0,0,1,0,0,0;0,1,0,0,0,0,1,0,0,0;0,0,1,0,0,0,0,0,0,1;0,0,1,1,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0"
4,1,10,4,5,2,3,2,1,0,0,1,1,1,"0,0,0,1,0,1,0,1,0,0;0,0,0,1,0,0,1,0,1,1;0,0,0,1,0,0,0,0,0,0;1,1,1,0,0,0,1,1,0,1;0,0,0,0,0,0,0,0,1,0;1,0,0,0,0,0,1,1,1,0;0,1,0,1,0,1,0,1,0,1;1,0,0,1,0,1,1,0,0,0;0,1,0,0,1,1,0,0,0,1;0,1,0,1,0,0,1,0,1,0"
5,4,10,4,5,2,3,1,2,0,0,2,2,2,"0,1,1,0,0,0,0,0,0,1;1,0,1,0,0,1,0,0,0,1;1,1,0,1,0,1,0,1,1,1;0,0,1,0,1,0,0,0,1,1;0,0,0,1,0,0,0,1,1,1;0,1,1,0,0,0,0,0,0,1;0,0,0,0,0,0,0,1,0,0;0,0,1,0,1,0,1,0,0,0;0,0,1,1,1,0,0,0,0,1;1,1,1,1,1,1,0,0,1,0"
6,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,1,1,1;0,0,0,0,0,0,0,0,1,0;0,1,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,1,0,0;0,0,1,0,0,0,1,0,0,1;0,1,1,1,0,0,0,0,0,0;0,0,1,0,0,0,0,1,0,0"
7,4,10,4,6,2,4,2,2,0,0,2,2,2,"0,1,0,0,0,0,1,0,0,0;1,0,1,1,0,1,0,1,0,1;0,1,0,0,1,0,0,1,0,0;0,1,0,0,0,0,0,1,0,1;0,0,1,0,0,1,1,1,0,1;0,1,0,0,1,0,1,0,1,1;1,0,0,0,1,1,0,0,0,0;0,1,1,1,1,0,0,0,0,1;0,0,0,0,0,1,0,0,0,0;0,1,0,1,1,1,0,1,0,0"
8,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,0,0,1,0,1;0,0,0,0,0,1,1,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,1,0,0,0,0,0,1;0,0,1,0,0,0,1,1,0,0;0,0,1,0,0,1,0,1,1,0;1,1,0,0,0,1,1,0,0,0;0,0,0,0,0,0,1,0,0,0;0,1,0,0,1,0,0,0,0,0"
9,-0.1,10,6,3,1,2,2,0,0,0,0,0,0,"0,0,0,0,0,0,1,1,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,1,0,0,0,0,1,0;0,0,1,0,1,1,1,1,1,0;0,0,0,1,0,0,1,0,0,0;0,0,0,1,0,0,0,0,0,0;1,0,0,1,1,0,0,0,0,0;1,0,0,1,0,0,0,0,1,0;0,1,1,1,0,0,0,1,0,1;0,0,0,0,0,0,0,0,1,0"
10,-0.1,10,5,3,1,2,2,0,0,0,0,0,0,"0,0,0,0,1,0,1,0,0,0;0,0,0,1,0,0,0,1,0,0;0,0,0,1,0,1,0,0,0,0;0,1,1,0,0,1,1,1,0,0;1,0,0,0,0,1,0,0,0,0;0,0,1,1,1,0,0,1,0,1;1,0,0,1,0,0,0,0,0,0;0,1,0,1,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,1,0,0,0,0"
11,1,10,5,5,2,3,2,1,0,0,1,1,1,"0,0,0,1,0,1,0,0,1,0;0,0,0,1,1,1,0,0,0,0;0,0,0,1,0,0,0,1,0,0;1,1,1,0,1,0,1,1,0,1;0,1,0,1,0,0,1,0,0,1;1,1,0,0,0,0,0,0,0,0;0,0,0,1,1,0,0,0,0,0;0,0,1,1,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,1;0,0,0,1,1,0,0,0,1,0"
12,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,1,0,0,0,1,1,0,0,1;1,0,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,0,0;0,0,0,0,0,0,1,0,1,0;0,0,1,0,0,0,1,1,1,1;1,0,0,0,0,0,0,0,0,1;1,0,0,1,1,0,0,0,1,0;0,0,0,0,1,0,0,0,1,1;0,0,0,1,1,0,1,1,0,1;1,0,0,0,1,1,0,1,1,0"
13,4,10,5,8,3,5,3,2,0,0,2,2,2,"0,1,0,1,1,0,0,0,0,0;1,0,0,0,0,0,1,0,1,0;0,0,0,0,1,1,1,0,0,0;1,0,0,0,1,1,0,0,0,0;1,0,1,1,0,0,0,1,0,0;0,0,1,1,0,0,1,0,0,1;0,1,1,0,0,1,0,1,0,1;0,0,0,0,1,0,1,0,1,0;0,1,0,0,0,0,0,1,0,1;0,0,0,0,0,1,1,0,1,0"
14,9,10,4,9,4,5,2,3,0,0,3,3,3,"0,0,1,1,0,0,0,1,0,1;0,0,0,1,0,1,0,1,1,1;1,0,0,0,1,0,0,0,1,0;1,1,0,0,0,0,1,0,0,1;0,0,1,0,0,1,0,1,0,0;0,1,0,0,1,0,0,0,1,1;0,0,0,1,0,0,0,1,0,0;1,1,0,0,1,0,1,0,0,1;0,1,1,0,0,1,0,0,0,1;1,1,0,1,0,1,0,1,1,0"
15,-0.1,10,5,5,1,4,4,0,0,0,0,0,0,"0,0,0,0,0,0,1,0,0,0;0,0,1,0,0,0,0,0,0,1;0,1,0,1,0,1,1,1,0,0;0,0,1,0,0,0,0,0,0,0;0,0,0,0,0,1,1,1,1,1;0,0,1,0,1,0,0,0,1,1;1,0,1,0,1,0,0,1,0,0;0,0,1,0,1,0,1,0,0,0;0,0,0,0,1,1,0,0,0,1;0,1,0,0,1,1,0,0,1,0"
16,4,10,4,5,3,2,0,2,0,0,2,2,2,"0,0,0,1,0,1,1,1,1,1;0,0,1,0,0,0,0,1,1,0;0,1,0,0,0,0,1,1,0,0;1,0,0,0,1,0,0,0,0,0;0,0,0,1,0,1,0,1,0,0;1,0,0,0,1,0,0,1,0,1;1,0,1,0,0,0,0,1,0,0;1,1,1,0,1,1,1,0,1,1;1,1,0,0,0,0,0,1,0,0;1,0,0,0,0,1,0,1,0,0"
17,4,10,4,6,3,3,1,2,0,0,2,2,2,"0,1,1,0,0,0,0,0,0,0;1,0,0,0,1,1,1,0,0,1;1,0,0,0,1,0,0,0,0,0;0,0,0,0,0,1,1,1,0,1;0,1,1,0,0,0,1,0,0,0;0,1,0,1,0,0,1,0,0,1;0,1,0,1,1,1,0,1,1,1;0,0,0,1,0,0,1,0,1,1;0,0,0,0,0,0,1,1,0,0;0,1,0,1,0,1,1,1,0,0"
18,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,1,0,0,0,0,1,0,0;0,0,0,1,0,1,1,0,0,0;1,0,0,0,0,1,0,1,1,0;0,1,0,0,0,1,0,0,1,1;0,0,0,0,0,1,1,0,1,0;0,1,1,1,1,0,0,0,0,0;0,1,0,0,1,0,0,0,1,0;1,0,1,0,0,0,0,0,0,1;0,0,1,1,1,0,1,0,0,0;0,0,0,1,0,0,0,1,0,0"
19,4,10,4,7,3,4,2,2,0,0,2,2,2,"0,0,1,1,1,1,0,0,1,1;0,0,0,1,1,0,1,1,0,0;1,0,0,0,0,0,1,1,1,0;1,1,0,0,1,1,0,1,1,1;1,1,0,1,0,0,1,0,0,0;1,0,0,1,0,0,1,0,0,0;0,1,1,0,1,1,0,0,0,0;0,1,1,1,0,0,0,0,0,1;1,0,1,1,0,0,0,0,0,0;1,0,0,1,0,0,0,1,0,0"
20,-0.1,10,6,4,1,3,3,0,0,0,0,0,0,"0,0,1,0,0,0,0,1,1,0;0,0,1,0,0,1,1,0,0,1;1,1,0,0,0,0,0,0,0,0;0,0,0,0,1,1,0,0,1,0;0,0,0,1,0,1,0,0,0,1;0,1,0,1,1,0,0,0,0,0;0,1,0,0,0,0,0,0,0,0;1,0,0,0,0,0,0,0,0,0;1,0,0,1,0,0,0,0,0,0;0,1,0,0,1,0,0,0,0,0"
21,4,10,4,5,3,2,0,2,0,0,2,2,2,"0,1,0,0,1,1,1,0,0,0;1,0,1,0,0,0,1,0,0,0;0,1,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,1,0,1;1,0,0,0,0,0,0,0,1,1;1,0,1,0,0,0,0,1,0,0;1,1,0,0,0,0,0,0,1,0;0,0,0,1,0,1,0,0,0,1;0,0,0,0,1,0,1,0,0,0;0,0,0,1,1,0,0,1,0,0"
22,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,0,1,1,0,1;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,1,0;0,0,0,0,0,0,0,1,0,0;0,0,0,0,0,1,0,1,1,0;0,0,0,0,1,0,0,0,0,1;1,0,0,0,0,0,0,1,0,1;1,0,0,1,1,0,1,0,0,1;0,0,1,0,1,0,0,0,0,0;1,0,0,0,0,1,1,1,0,0"
23,1,10,3,8,3,5,3,2,1,1,1,1,1,"0,0,1,1,1,0,0,1,0,0;0,0,1,0,0,0,0,1,0,0;1,1,0,1,0,1,0,0,0,0;1,0,1,0,0,0,0,1,0,0;1,0,0,0,0,0,0,0,0,0;0,0,1,0,0,0,0,1,0,0;0,0,0,0,0,0,0,0,0,0;1,1,0,1,0,1,0,0,1,0;0,0,0,0,0,0,0,1,0,1;0,0,0,0,0,0,0,0,1,0"
24,-0.1,10,5,4,1,3,3,0,0,0,0,0,0,"0,0,0,0,0,1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,1,0,0,1,0,1,1;0,0,1,0,1,0,1,0,1,1;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,0,1,0;0,0,1,1,0,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1;0,0,1,1,0,1,1,0,0,1;0,0,1,1,0,0,0,1,1,0"
25,1,10,4,5,2,3,2,1,0,0,1,1,1,"0,0,1,0,0,1,0,0,0,1;0,0,1,0,0,0,0,0,0,0;1,1,0,0,0,0,0,0,0,0;0,0,0,0,1,0,0,0,1,0;0,0,0,1,0,1,1,1,0,0;1,0,0,0,1,0,0,1,0,0;0,0,0,0,1,0,0,1,0,0;0,0,0,0,1,1,1,0,0,1;0,0,0,1,0,0,0,0,0,0;1,0,0,0,0,0,0,1,0,0"
26,1,10,3,6,2,4,2,2,1,1,1,1,1,"0,1,1,0,1,0,1,0,0,1;1,0,1,0,0,1,1,0,0,1;1,1,0,0,1,0,0,0,1,0;0,0,0,0,0,0,0,0,0,1;1,0,1,0,0,0,1,0,1,0;0,1,0,0,0,0,0,0,0,0;1,1,0,0,1,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,1,0,1,0,0,0,0,0;1,1,0,1,0,0,0,0,0,0"
